time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220208193158,15/01/2021,21/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220208215745,08/01/2021,14/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209001834,01/01/2021,07/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209021654,22/09/2020,30/09/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209045146,15/09/2020,21/09/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209070826,08/09/2020,14/09/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209093102,01/09/2020,07/09/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209114336,22/06/2020,30/06/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220209163929,01/09/2020,07/09/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209185430,22/06/2020,30/06/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220209230427,15/06/2020,21/06/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220210012208,08/06/2020,14/06/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220210040758,01/06/2020,07/06/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220210063235,22/03/2020,31/03/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220210075052,15/03/2020,21/03/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220210185548,08/03/2020,14/03/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220210203719,01/03/2020,07/03/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220210221232,22/02/2020,29/02/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220210234408,15/02/2020,21/02/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211003009,08/02/2020,14/02/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211012745,01/02/2020,07/02/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211024719,22/01/2020,31/01/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211042819,15/01/2020,21/01/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211060837,08/01/2020,14/01/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211074157,01/01/2020,07/01/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211083702,22/10/2019,31/10/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
time_started,begin_date,end_date,loc_prov,test_set_test_item,email,non_reportable,sort_direction
20220211163117,15/10/2019,21/10/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220211215054,08/10/2019,14/10/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212022811,01/10/2019,07/10/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212073607,22/05/2019,31/05/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212111554,15/05/2019,21/05/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212140335,08/05/2019,14/05/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212163441,01/05/2019,07/05/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212185636,22/04/2019,30/04/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212213830,15/04/2019,21/04/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220212235351,08/04/2019,14/04/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220213024646,01/04/2019,07/04/2019,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220213052452,01/01/2022,31/01/2022,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220213150543,22/01/2021,31/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220213172953,15/01/2021,21/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220213194328,08/01/2021,14/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220213215234,01/01/2021,07/01/2021,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
20220213232801,22/09/2020,30/09/2020,r6,C045;C046;C020;C021;C022;C023;C024;C025;C026,dieter.vdwesthuizen@nhls.ac.za,0,1
